Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-16 00:00:00-04:00,5064.58984375,5079.83984375,5039.830078125,5051.41015625,4006200000,0.0,0.0
2024-04-17 00:00:00-04:00,5068.97021484375,5077.9599609375,5007.25,5022.2099609375,3596130000,0.0,0.0
2024-04-18 00:00:00-04:00,5031.52001953125,5056.66015625,5001.89013671875,5011.1201171875,3619760000,0.0,0.0
2024-04-19 00:00:00-04:00,5005.43994140625,5019.02001953125,4953.56005859375,4967.22998046875,3878750000,0.0,0.0
2024-04-22 00:00:00-04:00,4987.330078125,5038.83984375,4969.39990234375,5010.60009765625,3820250000,0.0,0.0
2024-04-23 00:00:00-04:00,5028.85009765625,5076.1201171875,5027.9599609375,5070.5498046875,3751400000,0.0,0.0
2024-04-24 00:00:00-04:00,5084.85986328125,5089.47998046875,5047.02001953125,5071.6298828125,3656740000,0.0,0.0
2024-04-25 00:00:00-04:00,5019.8798828125,5057.75,4990.580078125,5048.419921875,3958050000,0.0,0.0
2024-04-26 00:00:00-04:00,5084.64990234375,5114.6201171875,5073.14013671875,5099.9599609375,3604140000,0.0,0.0
2024-04-29 00:00:00-04:00,5114.1298828125,5123.490234375,5088.64990234375,5116.169921875,3447450000,0.0,0.0
2024-04-30 00:00:00-04:00,5103.77978515625,5110.830078125,5035.31005859375,5035.68994140625,4082470000,0.0,0.0
2024-05-01 00:00:00-04:00,5029.02978515625,5096.1201171875,5013.4501953125,5018.39013671875,4544170000,0.0,0.0
2024-05-02 00:00:00-04:00,5049.31982421875,5073.2099609375,5011.0498046875,5064.2001953125,4381660000,0.0,0.0
2024-05-03 00:00:00-04:00,5122.77978515625,5139.1201171875,5101.22021484375,5127.7900390625,3924990000,0.0,0.0
2024-05-06 00:00:00-04:00,5142.419921875,5181.0,5142.419921875,5180.740234375,3683250000,0.0,0.0
2024-05-07 00:00:00-04:00,5187.2001953125,5200.22998046875,5178.9599609375,5187.7001953125,3987890000,0.0,0.0
2024-05-08 00:00:00-04:00,5168.97998046875,5191.9501953125,5165.85986328125,5187.669921875,3842100000,0.0,0.0
2024-05-09 00:00:00-04:00,5189.02978515625,5215.2998046875,5180.41015625,5214.080078125,3727370000,0.0,0.0
2024-05-10 00:00:00-04:00,5225.490234375,5239.66015625,5209.68017578125,5222.68017578125,3617900000,0.0,0.0
2024-05-13 00:00:00-04:00,5233.080078125,5237.259765625,5211.16015625,5221.419921875,4255710000,0.0,0.0
2024-05-14 00:00:00-04:00,5221.10009765625,5250.3701171875,5217.97998046875,5246.68017578125,4763580000,0.0,0.0
2024-05-15 00:00:00-04:00,5263.259765625,5311.759765625,5263.259765625,5308.14990234375,4360810000,0.0,0.0
2024-05-16 00:00:00-04:00,5310.06982421875,5325.490234375,5296.18994140625,5297.10009765625,3817470000,0.0,0.0
2024-05-17 00:00:00-04:00,5303.10009765625,5305.4501953125,5283.58984375,5303.27001953125,3578120000,0.0,0.0
2024-05-20 00:00:00-04:00,5305.35009765625,5325.31982421875,5302.39990234375,5308.1298828125,3420100000,0.0,0.0
2024-05-21 00:00:00-04:00,5298.68994140625,5324.31982421875,5297.8701171875,5321.41015625,3662240000,0.0,0.0
